start time,1633067653.101048
type,MM
depth,5
game,0
iterations,12
times of actions,"[[0, 0.009125471115112305, (<Action.MOVE: 2>, 0, -1)], [1, 5.983927965164185, (<Action.MOVE: 2>, 0, 1)], [0, 0.017619609832763672, (<Action.MOVE: 2>, 0, 1)], [1, 11.781773328781128, (<Action.MOVE: 2>, -1, 1)], [0, 0.036725759506225586, (<Action.MOVE: 2>, 1, 0)], [1, 20.53205394744873, (<Action.MOVE: 2>, -1, 1)], [0, 0.042439937591552734, (<Action.MOVE: 2>, 0, -1)], [1, 11.58438229560852, (<Action.MOVE: 2>, -1, 0)], [0, 0.024547338485717773, (<Action.MOVE: 2>, 1, 1)], [1, 17.462770223617554, (<Action.MOVE: 2>, -1, -1)], [0, 0.04426932334899902, (<Action.MOVE: 2>, 1, -1)], [1, 9.203698635101318, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,1
iterations,12
times of actions,"[[0, 0.014228105545043945, (<Action.MOVE: 2>, 1, 0)], [1, 7.654797792434692, (<Action.MOVE: 2>, 0, 1)], [0, 0.025593280792236328, (<Action.MOVE: 2>, 1, 1)], [1, 15.411280155181885, (<Action.MOVE: 2>, -1, 1)], [0, 0.053023338317871094, (<Action.MOVE: 2>, -1, 0)], [1, 20.671440601348877, (<Action.MOVE: 2>, -1, 0)], [0, 0.043926239013671875, (<Action.MOVE: 2>, 1, -1)], [1, 11.691072225570679, (<Action.MOVE: 2>, -1, 0)], [0, 0.022932767868041992, (<Action.MOVE: 2>, 1, 1)], [1, 14.93549656867981, (<Action.MOVE: 2>, -1, -1)], [0, 0.042328596115112305, (<Action.MOVE: 2>, -1, 0)], [1, 14.630138158798218, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,2
