,me_mean,me_std
0,0.0,0.6324555320336759
1,0.6,1.019803902718557
2,1.0,0.8944271909999159
3,1.0,1.0954451150103321
4,1.6,1.3564659966250536
5,2.2,1.5999999999999999
6,3.0,1.6733200530681511
7,3.2,1.5999999999999999
8,3.8,1.3266499161421599
9,3.6,0.8
10,3.8,1.1661903789690602
11,4.0,1.0954451150103321
12,4.2,1.16619037896906
13,3.8,1.16619037896906
14,4.0,1.4142135623730951
15,4.2,1.16619037896906
16,4.4,1.7435595774162693
17,4.6,1.8547236990991407
18,4.6,2.244994432064365
19,5.2,2.227105745132009
20,5.8,1.9390719429665317
21,6.0,1.6733200530681511
22,6.2,1.469693845669907
23,6.6,1.7435595774162693
24,6.8,2.4
25,7.0,2.0976176963403033
26,7.2,2.227105745132009
27,8.0,2.0976176963403033
28,8.0,2.0976176963403033
29,8.4,2.0591260281974
30,8.2,1.9390719429665315
31,8.6,1.8547236990991407
32,9.0,2.6076809620810595
33,9.0,2.280350850198276
34,9.2,2.1354156504062622
35,9.0,1.8973665961010275
36,9.0,1.4142135623730951
37,9.2,1.32664991614216
38,9.6,1.7435595774162693
39,9.6,1.7435595774162693
40,9.8,1.9390719429665317
41,10.0,2.449489742783178
42,10.4,2.870540018881465
43,10.6,2.5768197453450252
44,11.0,2.8284271247461903
45,11.0,2.280350850198276
46,11.6,1.8547236990991407
47,12.0,2.1908902300206643
48,11.8,2.4819347291981715
49,12.2,2.85657137141714
50,12.4,2.939387691339814
51,12.6,3.006659275674582
52,12.8,2.7129319932501073
53,13.0,3.3466401061363023
54,13.4,3.1368774282716245
55,13.4,3.49857113690718
56,13.6,3.4409301068170506
57,13.8,3.7094473981982814
58,13.8,3.54400902933387
59,14.0,3.521363372331802
60,14.8,3.249615361854384
61,15.2,3.1874754901018454
62,15.0,3.63318042491699
63,15.2,3.4871191548325386
64,14.8,3.655133376499413
65,15.0,3.5777087639996634
66,15.0,3.5777087639996634
67,15.0,3.5777087639996634
68,15.0,3.847076812334269
69,15.4,3.7202150475476548
70,15.6,4.409081537009721
71,15.4,4.498888751680797
72,15.4,4.2708313008125245
73,15.6,4.454211490264018
74,15.2,4.621688003316537
75,15.0,4.427188724235731
76,15.2,4.707440918375928
77,15.8,4.166533331199932
78,15.8,3.9698866482558417
79,16.0,4.049691346263317
80,16.0,3.5777087639996634
81,16.0,3.847076812334269
82,16.4,3.7202150475476548
83,16.6,3.7202150475476548
84,16.8,3.7629775444453557
85,17.0,4.049691346263317
86,17.2,4.48998886412873
87,17.6,4.223742416388575
88,17.8,4.445222154178573
89,18.0,4.604345773288535
90,18.2,5.1146847410177685
91,18.2,5.344155686354955
92,18.2,5.075431016179808
93,18.2,4.791659420284375
94,18.4,5.043808085167397
95,18.2,5.344155686354955
96,18.4,5.083306010855534
97,18.0,5.366563145999495
98,18.0,5.366563145999495
99,18.4,5.238320341483518
100,18.6,5.4626001134990645
101,18.8,5.418486873657627
102,18.6,5.4626001134990645
103,18.8,5.418486873657627
104,19.0,5.692099788303083
105,19.2,5.706137047074843
106,19.6,5.9531504264548865
107,19.6,6.151422599691879
108,19.8,6.337191807101944
109,20.0,6.54217089351845
110,19.8,7.19444229944198
111,20.4,7.310266752998826
112,20.6,7.172168430816443
113,20.8,7.704544113703289
114,20.0,7.899367063252599
115,19.2,7.756287771866126
116,19.6,7.49933330370107
117,19.6,7.3647810558087885
118,19.6,7.002856560004639
119,20.2,7.110555533852471
120,20.8,7.0823724838503095
121,20.8,6.8527366796047255
122,21.2,6.734983296193095
123,21.2,6.4
124,21.6,6.468384651518491
125,21.6,6.681317235396026
126,21.4,6.770524351924302
127,21.4,6.829348431585549
128,22.0,6.928203230275509
129,22.2,7.222188034107115
130,22.6,7.525955088890711
131,22.8,7.984985911070852
132,23.0,7.848566748139434
133,23.0,7.615773105863909
134,22.8,7.520638270785266
135,22.6,7.310266752998826
136,23.4,7.116178749862878
137,23.4,7.116178749862878
138,24.0,7.563068160475615
139,24.4,7.116178749862878
140,25.2,7.025667228100119
141,25.6,7.031358332498778
142,25.6,7.031358332498778
143,25.6,7.031358332498778
