,me_mean,me_std,opp_mean,opp_std
0,0.2,0.4,0.2,0.4
1,0.8,0.7483314773547882,0.2,0.4
2,1.0,0.8944271909999159,0.2,0.4
3,1.6,1.3564659966250536,0.2,0.4
4,1.8,1.4696938456699067,0.2,0.4
5,2.2,1.469693845669907,0.2,0.4
6,2.6,1.3564659966250538,0.2,0.4
7,2.8,1.1661903789690602,0.4,0.4898979485566356
8,3.0,1.4142135623730951,0.4,0.4898979485566356
9,3.2,1.32664991614216,0.4,0.4898979485566356
10,3.6,1.624807680927192,0.4,0.4898979485566356
11,3.8,1.7204650534085253,0.4,0.4898979485566356
12,4.0,1.8973665961010275,0.4,0.4898979485566356
13,4.2,2.1354156504062622,0.4,0.4898979485566356
14,4.8,2.3151673805580453,0.4,0.4898979485566356
15,5.0,2.5298221281347035,0.6,0.7999999999999999
16,5.6,2.5768197453450252,0.6,0.7999999999999999
17,5.8,2.3151673805580453,0.6,0.7999999999999999
18,5.8,2.3151673805580453,0.6,0.7999999999999999
19,6.2,2.4000000000000004,0.6,0.7999999999999999
20,6.6,2.5768197453450252,0.6,0.7999999999999999
21,7.4,2.4166091947189146,0.6,0.7999999999999999
22,8.0,2.0,0.6,0.7999999999999999
23,8.6,2.0591260281974,0.6,0.7999999999999999
24,8.8,2.1354156504062622,1.0,1.2649110640673518
25,9.2,1.9390719429665317,1.0,1.2649110640673518
26,9.6,1.4966629547095764,1.4,1.3564659966250536
27,9.6,1.4966629547095764,1.8,1.16619037896906
28,10.2,1.7204650534085253,1.8,1.16619037896906
29,10.6,1.624807680927192,2.0,1.2649110640673518
30,10.8,1.5999999999999999,2.2,0.9797958971132712
31,11.2,1.8330302779823362,2.2,0.9797958971132712
32,11.6,1.8547236990991407,2.4,0.8
33,12.2,1.9390719429665317,2.4,0.8
34,12.4,2.1540659228538015,2.4,0.8
35,12.6,2.4166091947189146,2.4,0.8
36,13.0,2.756809750418044,2.4,0.8
37,13.4,2.33238075793812,2.6,1.019803902718557
38,13.6,2.0591260281974,2.6,1.019803902718557
39,14.2,1.9390719429665315,2.6,1.019803902718557
40,14.6,2.33238075793812,2.6,1.019803902718557
41,14.6,2.33238075793812,2.8,1.1661903789690602
42,15.0,2.449489742783178,3.0,1.4142135623730951
43,15.2,2.785677655436824,3.4,1.4966629547095764
44,15.4,2.8000000000000003,3.4,1.4966629547095764
45,15.4,2.8000000000000003,3.4,1.4966629547095764
46,15.8,2.7129319932501073,3.6,1.8547236990991407
47,16.0,2.6076809620810595,3.6,1.8547236990991407
48,16.0,2.6076809620810595,3.8,1.8330302779823362
49,16.2,2.7129319932501073,4.0,2.1908902300206643
50,16.6,2.727636339397171,4.2,2.039607805437114
51,17.0,2.756809750418044,4.2,2.039607805437114
52,17.6,2.939387691339814,4.2,2.039607805437114
53,17.8,2.6381811916545836,4.4,2.4166091947189146
54,18.0,2.6076809620810595,4.4,2.4166091947189146
55,18.2,2.7129319932501073,4.6,2.8
56,18.4,3.0066592756745814,4.8,3.1874754901018454
57,18.6,2.727636339397171,5.0,3.1622776601683795
58,18.8,2.7129319932501073,5.0,3.1622776601683795
59,19.6,2.4166091947189146,5.2,2.9933259094191533
60,19.8,2.5612496949731396,5.4,2.8705400188814645
61,20.0,2.6076809620810595,5.6,3.2619012860600183
62,20.6,2.65329983228432,5.8,3.655133376499413
63,21.0,2.6076809620810595,6.2,3.4292856398964493
64,21.4,2.727636339397171,6.4,3.32264954516723
65,22.0,3.03315017762062,6.4,3.32264954516723
66,22.6,3.3823069050575527,6.4,3.32264954516723
67,23.2,3.7629775444453557,6.4,3.32264954516723
68,23.8,3.54400902933387,6.4,3.32264954516723
69,24.2,3.4871191548325386,6.6,3.2619012860600183
70,24.6,3.6660605559646724,6.8,3.655133376499413
71,24.6,3.6660605559646724,6.8,3.655133376499413
72,25.2,3.54400902933387,6.8,3.655133376499413
73,25.6,3.7202150475476548,7.2,3.4871191548325386
74,25.6,3.7202150475476548,7.2,3.4871191548325386
75,26.2,3.370459909270543,7.2,3.4871191548325386
76,26.6,3.6110940170535577,7.6,3.3823069050575527
77,27.0,3.286335345030997,7.6,3.3823069050575527
78,27.6,3.261901286060018,7.6,3.3823069050575527
79,27.8,3.249615361854384,7.8,3.3105890714493698
80,28.2,3.370459909270543,8.0,3.286335345030997
81,28.6,3.6660605559646724,8.2,3.3105890714493698
82,28.6,3.6660605559646724,8.2,3.3105890714493698
83,28.8,3.3105890714493698,8.4,3.6660605559646724
84,29.2,3.54400902933387,8.6,3.4409301068170506
85,29.6,3.826225293941798,8.6,3.4409301068170506
86,30.0,3.8987177379235853,8.8,3.370459909270543
87,30.8,3.8678159211627436,8.8,3.370459909270543
88,31.0,3.8987177379235853,8.8,3.370459909270543
89,31.0,3.8987177379235853,8.8,3.370459909270543
90,31.0,3.8987177379235853,8.8,3.370459909270543
91,31.0,3.8987177379235853,8.8,3.370459909270543
92,31.6,4.2708313008125245,8.8,3.370459909270543
93,31.6,4.2708313008125245,8.8,3.370459909270543
94,32.2,4.66476151587624,8.8,3.370459909270543
95,32.4,4.758150901348127,8.8,3.370459909270543
96,33.2,4.66476151587624,8.8,3.370459909270543
97,33.8,4.955804677345546,8.8,3.370459909270543
98,33.8,4.955804677345546,8.8,3.370459909270543
99,34.2,4.995998398718719,9.0,3.1622776601683795
100,34.2,4.995998398718719,9.0,3.1622776601683795
101,34.4,4.63033476111609,9.0,3.1622776601683795
102,34.6,4.882622246293481,9.0,3.1622776601683795
103,34.8,5.1536394906900505,9.0,3.1622776601683795
104,35.2,5.192301994298868,9.2,3.1240998703626617
105,35.6,5.276362383309167,9.4,3.4985711369071804
106,36.4,5.276362383309168,9.4,3.4985711369071804
107,36.6,4.923413450036469,10.0,3.847076812334269
108,36.8,4.578209256903839,10.0,3.847076812334269
109,36.8,4.578209256903839,10.0,3.847076812334269
110,37.0,4.69041575982343,10.4,3.4985711369071804
111,37.0,4.69041575982343,10.6,3.4985711369071804
112,37.4,4.31740662898458,10.6,3.4985711369071804
113,37.6,4.586937976471886,10.6,3.4985711369071804
114,38.0,4.979959839195493,10.6,3.4985711369071804
115,38.2,4.66476151587624,10.6,3.4985711369071804
116,38.4,4.8,10.6,3.4985711369071804
117,39.2,4.66476151587624,10.6,3.4985711369071804
118,39.2,4.66476151587624,11.0,3.7416573867739413
119,39.2,4.66476151587624,11.2,3.655133376499413
120,39.2,4.66476151587624,11.2,3.655133376499413
121,39.6,5.083306010855534,11.2,3.655133376499413
122,39.6,5.083306010855534,11.4,4.029888335921977
123,39.8,5.381449618829484,11.4,4.029888335921977
124,40.0,5.0990195135927845,11.6,3.97994974842648
125,40.2,5.2306787322488075,11.6,3.97994974842648
126,40.2,5.2306787322488075,11.8,3.7629775444453557
127,40.8,5.192301994298868,12.0,3.7416573867739413
128,41.0,4.9396356140913875,12.2,3.7094473981982814
129,41.2,5.075431016179809,12.2,3.7094473981982814
130,41.6,5.1613951602255765,12.4,4.079215610874228
131,41.6,5.1613951602255765,12.6,4.079215610874227
132,42.2,4.955804677345547,12.8,4.445222154178573
133,42.2,4.955804677345547,13.4,4.223742416388575
134,42.6,4.923413450036469,13.4,4.223742416388575
135,42.8,4.791659420284375,13.8,4.069397989875161
136,43.2,4.955804677345547,14.0,3.8987177379235853
137,43.6,5.0039984012787215,14.0,3.8987177379235853
138,44.0,5.176871642217914,14.0,3.8987177379235853
139,44.2,5.344155686354955,14.0,3.8987177379235853
140,44.4,5.642694391866354,14.4,4.317406628984581
141,44.6,5.535341001239218,14.4,4.317406628984581
142,44.8,5.706137047074842,14.4,4.317406628984581
143,44.8,5.706137047074842,14.6,4.127953488110059
144,45.0,6.0,14.6,4.127953488110059
145,45.2,5.878775382679628,14.6,4.127953488110059
146,45.8,5.979966555090422,14.6,4.127953488110059
147,45.8,5.979966555090422,14.8,4.214261501141095
148,46.4,5.782732917920384,15.0,4.147288270665544
149,46.6,6.086049621881176,15.4,4.586937976471886
150,46.8,5.844655678480983,15.4,4.586937976471886
151,47.4,6.216108107168021,15.6,4.409081537009721
152,47.6,6.374950980203691,16.0,4.1952353926806065
153,47.8,6.675327707311455,16.0,4.1952353926806065
154,48.2,6.910861017268399,16.0,4.1952353926806065
155,48.4,6.8585712797928995,16.2,4.166533331199932
156,49.0,6.782329983125268,16.2,4.166533331199932
157,49.0,6.782329983125268,16.2,4.166533331199932
158,49.2,6.734983296193095,16.6,4.029888335921977
159,49.6,7.031358332498779,16.6,4.029888335921977
160,50.0,6.985699678629192,16.6,4.029888335921977
161,50.4,6.590902821313632,16.8,4.354308211415448
162,50.8,7.025667228100119,17.0,4.1952353926806065
163,51.0,6.985699678629192,17.0,4.1952353926806065
164,51.4,7.418894796396563,17.0,4.1952353926806065
165,51.6,7.172168430816443,17.4,4.2708313008125245
166,51.8,6.9397406291589885,17.8,4.4
167,52.4,7.172168430816443,18.0,4.69041575982343
168,53.0,7.26636084983398,18.0,4.69041575982343
169,53.6,7.337574531137657,18.2,4.833218389437829
170,53.8,7.678541528180987,18.2,4.833218389437829
171,54.2,7.833262411026455,18.4,5.122499389946279
172,54.2,7.833262411026455,18.6,4.963869458396343
173,54.4,7.787168933572714,18.6,4.963869458396343
174,55.0,8.024961059095553,18.6,4.963869458396343
175,55.0,8.024961059095553,18.8,4.707440918375928
176,55.2,8.37615663654877,18.8,4.707440918375928
177,55.6,8.16333265278342,19.2,4.707440918375928
178,55.8,8.518215775618742,19.4,4.586937976471886
179,55.8,8.518215775618742,19.6,4.5431266766402185
180,55.8,8.518215775618742,20.0,4.979959839195493
181,56.0,8.87693640846886,20.2,5.1536394906900505
182,56.4,9.090654541890808,20.2,5.1536394906900505
183,56.6,9.134549797335389,20.2,5.1536394906900505
184,56.6,9.134549797335389,20.6,5.238320341483518
185,56.6,9.134549797335389,21.0,5.403702434442518
186,57.0,9.549869109050658,21.0,5.403702434442518
187,57.2,9.346657156438337,21.0,5.403702434442518
188,57.4,9.28654941299512,21.0,5.403702434442518
189,57.4,9.28654941299512,21.6,5.535341001239218
190,57.6,9.243376006633074,21.6,5.535341001239218
191,57.6,9.243376006633074,21.6,5.535341001239218
192,58.0,9.143303560529969,21.8,5.491812087098393
193,58.4,9.068627239003707,21.8,5.491812087098393
194,58.6,9.414881836751857,22.0,5.656854249492381
195,58.6,9.414881836751857,22.2,5.844655678480984
196,59.0,9.633275663033837,22.2,5.844655678480984
197,59.0,9.633275663033837,22.2,5.844655678480984
198,59.4,9.76933979345585,22.2,5.844655678480984
199,59.6,9.830564581955606,22.4,6.086049621881176
200,60.0,9.549869109050658,22.6,6.2801273872430325
201,60.2,9.346657156438337,22.6,6.2801273872430325
202,60.2,9.346657156438337,22.8,5.979966555090422
203,60.8,9.15204895091804,22.8,5.979966555090422
204,61.0,8.988882021697693,22.8,5.979966555090422
205,61.2,8.930845424706442,23.0,5.932958789676531
206,61.4,9.28654941299512,23.2,6.177378084592201
207,61.6,9.134549797335389,23.6,6.053098380168622
208,61.8,9.086253353280437,23.6,6.053098380168622
209,61.8,9.086253353280437,23.6,6.053098380168622
210,61.8,9.086253353280437,23.8,6.04648658313239
211,62.0,9.444575162494075,23.8,6.04648658313239
212,62.4,9.28654941299512,24.0,6.06630035524124
213,62.8,9.303762679690406,24.0,6.06630035524124
214,63.2,9.724196624914574,24.0,6.06630035524124
215,63.4,9.810198774744578,24.2,6.11228271597445
216,63.6,9.911609354691095,24.4,6.1838499334961226
217,63.8,9.744742172063868,24.6,6.086049621881176
218,64.0,9.591663046625438,24.8,6.305553108173779
219,64.0,9.591663046625438,24.8,6.305553108173779
220,64.0,9.591663046625438,25.0,6.44980619863884
221,64.2,9.537295214053092,25.2,6.615134163416491
222,64.8,9.368030742904295,25.2,6.615134163416491
223,65.0,9.20869154657707,25.4,6.681317235396026
224,65.2,9.325234581499814,25.8,6.968500556073738
225,65.4,9.645724441429994,25.8,6.968500556073738
226,65.8,9.368030742904295,26.0,7.127411872482185
227,66.0,9.20869154657707,26.0,7.127411872482185
228,66.2,9.325234581499814,26.2,6.794115100585212
229,66.8,9.064215354899728,26.4,6.887670143089026
230,67.2,8.772684879784524,26.4,6.887670143089026
231,67.6,9.221713506718803,26.4,6.887670143089026
232,68.2,8.772684879784524,26.4,6.887670143089026
233,68.8,8.704022058795577,26.4,6.887670143089026
234,68.8,8.704022058795577,26.8,7.249827584156743
235,69.2,8.772684879784524,27.0,6.928203230275509
236,69.4,8.912911982062877,27.2,7.138627319029899
237,70.0,8.831760866327848,27.4,7.364781055808788
238,70.4,8.912911982062877,27.4,7.364781055808788
239,71.0,8.854377448471462,27.6,7.445804187594514
240,71.0,8.854377448471462,27.8,7.678541528180986
241,71.0,8.854377448471462,28.0,7.92464510246358
242,71.2,8.704022058795578,28.2,8.182909018191515
243,71.4,8.56971411425142,28.4,8.260750571225353
244,71.4,8.56971411425142,28.6,8.357032966310472
245,71.6,8.309031231136395,28.8,8.471127433818948
246,71.8,8.255906976220118,29.2,8.009993757800315
247,72.2,8.280096617793781,29.4,7.863841300534999
248,72.4,8.16333265278342,29.8,8.23164625090267
249,72.4,8.16333265278342,30.0,8.48528137423857
250,72.4,8.16333265278342,30.0,8.48528137423857
251,72.8,8.399999999999999,30.0,8.48528137423857
252,73.0,8.366600265340756,30.2,8.352245207128439
253,73.2,8.255906976220118,30.2,8.352245207128439
254,73.4,7.964923100695951,30.2,8.352245207128439
255,73.6,7.683749084919419,30.6,8.73155198117723
256,74.0,7.874007874011811,30.8,8.795453370918407
257,74.6,8.212186067059124,30.8,8.795453370918407
258,74.8,8.51821577561874,30.8,8.795453370918407
259,75.0,8.648699324175862,31.2,8.930845424706442
260,75.6,8.822698000045111,31.6,8.890444308357148
261,75.6,8.822698000045111,32.0,9.23038460737146
262,75.8,9.130169768410662,32.2,9.108238029388561
263,76.2,9.019977827023745,32.6,8.890444308357146
264,76.4,8.777243302996675,32.6,8.890444308357146
265,76.6,8.935323161475472,32.8,8.997777503361593
266,76.6,8.935323161475472,33.2,9.15204895091804
267,77.0,9.011104260855047,33.2,9.15204895091804
268,77.2,8.885943956609225,33.4,9.264987857520376
269,77.6,9.090654541890808,33.4,9.264987857520376
270,78.0,9.549869109050658,33.6,9.54148835350125
271,78.2,9.431860898041277,33.6,9.54148835350125
272,78.2,9.431860898041277,34.0,9.939818911831342
273,78.2,9.431860898041277,34.2,10.067770358922575
274,78.4,9.58331884056875,34.4,10.34601372510205
275,78.8,9.516301802696256,34.6,10.63202708800161
276,78.8,9.516301802696256,34.8,10.925200226998129
277,79.4,9.350935782048767,35.0,11.224972160321824
278,79.8,9.537295214053092,35.0,11.224972160321824
279,80.0,9.316651759081692,35.2,11.232096865679177
280,80.4,9.789790600416334,35.2,11.232096865679177
281,80.6,10.091580649234292,35.4,11.11035552986492
282,81.4,9.789790600416334,35.4,11.11035552986492
283,82.0,9.736529155710468,35.6,10.818502669038818
284,82.0,9.736529155710468,35.8,10.533755265810953
