,me_mean,me_std
0,0.0,0.6324555320336759
1,0.6,1.019803902718557
2,0.8,1.16619037896906
3,1.4,1.624807680927192
4,1.6,1.7435595774162693
5,2.0,1.7888543819998317
6,2.4,1.624807680927192
7,2.4,1.2
8,2.6,1.4966629547095767
9,2.8,1.32664991614216
10,3.2,1.6
11,3.4,1.624807680927192
12,3.6,1.7435595774162693
13,3.8,1.9390719429665317
14,4.4,2.1540659228538015
15,4.4,2.5768197453450252
16,5.0,2.5298221281347035
17,5.2,2.3151673805580453
18,5.2,2.3151673805580453
19,5.6,2.4979991993593593
20,6.0,2.756809750418044
21,6.8,2.6381811916545836
22,7.4,2.244994432064365
23,8.0,2.449489742783178
24,7.8,2.85657137141714
25,8.2,2.7129319932501073
26,8.2,2.1354156504062622
27,7.8,1.7204650534085253
28,8.4,2.1540659228538015
29,8.6,1.8547236990991407
30,8.6,1.7435595774162693
31,9.0,2.0
32,9.2,1.6
33,9.8,1.6
34,10.0,1.8973665961010275
35,10.2,2.2271057451320084
36,10.6,2.5768197453450252
37,10.8,2.2271057451320084
38,11.0,2.0976176963403033
39,11.6,1.9595917942265424
40,12.0,2.3664319132398464
41,11.8,2.315167380558045
42,12.0,2.756809750418044
43,11.8,3.3105890714493698
44,12.0,3.1622776601683795
45,12.0,3.1622776601683795
46,12.2,3.3105890714493698
47,12.4,3.32264954516723
48,12.2,3.54400902933387
49,12.2,3.8157568056677826
50,12.4,3.9293765408777004
51,12.8,4.019950248448356
52,13.4,4.127953488110059
53,13.4,4.17612260356422
54,13.6,4.223742416388576
55,13.6,4.586937976471886
56,13.6,5.161395160225576
57,13.6,4.963869458396343
58,13.8,5.035871324805668
59,14.4,4.498888751680798
60,14.4,4.363484845854286
61,14.4,4.841487374764082
62,14.8,5.455272678794342
63,14.8,4.874423042781577
64,15.0,4.604345773288535
65,15.6,4.6303347611160905
66,16.2,4.707440918375927
67,16.8,4.833218389437828
68,17.4,4.882622246293481
69,17.6,4.409081537009721
70,17.8,4.995998398718719
71,17.8,4.995998398718719
72,18.4,5.122499389946279
73,18.4,4.758150901348127
74,18.4,4.758150901348127
75,19.0,4.381780460041329
76,19.0,4.147288270665544
77,19.4,3.7202150475476548
78,20.0,3.63318042491699
79,20.0,3.3466401061363023
80,20.2,3.1240998703626617
81,20.4,3.6110940170535577
82,20.4,3.6110940170535577
83,20.4,3.7735924528226414
84,20.6,4.127953488110059
85,21.0,4.427188724235731
86,21.2,4.261455150532504
87,22.0,4.147288270665544
88,22.2,3.8678159211627436
89,22.2,3.8678159211627436
90,22.2,3.8678159211627436
91,22.2,3.8678159211627436
92,22.8,3.9698866482558417
93,22.8,3.9698866482558417
94,23.4,4.127953488110059
95,23.6,4.223742416388575
96,24.4,4.127953488110059
97,25.0,4.2895221179054435
98,25.0,4.2895221179054435
99,25.2,4.664761515876241
100,25.2,4.664761515876241
101,25.4,4.409081537009721
102,25.6,4.715930449020639
103,25.8,5.035871324805669
104,26.0,4.857983120596447
105,26.2,5.2687759489277965
106,27.0,5.513619500836088
107,26.6,5.238320341483518
108,26.8,5.075431016179809
109,26.8,5.075431016179809
110,26.6,5.238320341483519
111,26.4,5.0039984012787215
112,26.8,4.534313619501853
113,27.0,4.774934554525329
114,27.4,5.161395160225576
115,27.6,5.0039984012787215
116,27.8,5.15363949069005
117,28.6,5.0039984012787215
118,28.2,5.268775948927797
119,28.0,5.253570214625479
120,28.0,5.253570214625479
121,28.4,5.6780278266313555
122,28.2,5.979966555090421
123,28.4,6.248199740725323
124,28.4,6.019966777316965
125,28.6,6.1514225996918785
126,28.4,6.248199740725323
127,28.8,6.013318551349164
128,28.8,5.635601121442149
129,29.0,5.761944116355173
130,29.2,6.305553108173779
131,29.0,6.196773353931867
132,29.4,6.590902821313632
133,28.8,6.241794613730893
134,29.2,6.337191807101943
135,29.0,6.260990336999411
136,29.2,6.241794613730895
137,29.6,6.374950980203691
138,30.0,6.324555320336759
139,30.2,6.43117407632541
140,30.0,6.928203230275509
141,30.2,6.968500556073739
142,30.4,7.059745037889116
143,30.2,7.025667228100119
144,30.4,7.310266752998827
