start time,1632910963.695267
type,MM
depth,5
game,0
iterations,8
times of actions,"[[0, 0.00396418571472168, (<Action.MOVE: 2>, 0, 1)], [1, 0.22598528861999512, (<Action.MOVE: 2>, -1, 0)], [0, 0.005017518997192383, (<Action.MOVE: 2>, 1, 0)], [1, 0.25299811363220215, (<Action.MOVE: 2>, -1, 0)], [0, 0.00598597526550293, (<Action.MOVE: 2>, 0, 1)], [1, 0.25799083709716797, (<Action.MOVE: 2>, -1, 0)], [0, 0.0049991607666015625, (<Action.MOVE: 2>, 1, 0)], [1, 0.2770559787750244, (<Action.MOVE: 2>, 1, 0)], [0, 0.006000995635986328, (<Action.MOVE: 2>, -1, 0)]]"
winner,none
game,1
iterations,16
times of actions,"[[0, 0.002999544143676758, (<Action.MOVE: 2>, 0, 1)], [1, 0.24931836128234863, (<Action.MOVE: 2>, -1, 0)], [0, 0.00599980354309082, (<Action.MOVE: 2>, 0, -1)], [1, 0.33500051498413086, (<Action.MOVE: 2>, -1, 0)], [0, 0.005998373031616211, (<Action.MOVE: 2>, -1, 0)], [1, 0.6360552310943604, (<Action.MOVE: 2>, 0, -1)], [0, 0.0060002803802490234, (<Action.MOVE: 2>, 0, -1)], [1, 0.5819981098175049, (<Action.MOVE: 2>, 0, -1)], [0, 0.006005287170410156, (<Action.MOVE: 2>, 1, 0)], [1, 0.5839991569519043, (<Action.MOVE: 2>, -1, 0)], [0, 0.005000591278076172, (<Action.MOVE: 2>, 0, -1)], [1, 0.6036033630371094, (<Action.MOVE: 2>, -1, 0)], [0, 0.004953145980834961, (<Action.MOVE: 2>, 0, 1)], [1, 0.5755069255828857, (<Action.MOVE: 2>, -1, 0)], [0, 0.005000114440917969, (<Action.MOVE: 2>, 0, -1)], [1, 0.5659995079040527, <Action.KICK: 1>]]"
winner,blue
game,2
iterations,22
times of actions,"[[0, 0.003010988235473633, (<Action.MOVE: 2>, -1, 0)], [1, 0.2459883689880371, (<Action.MOVE: 2>, -1, 0)], [0, 0.006608009338378906, (<Action.MOVE: 2>, 0, -1)], [1, 0.34596967697143555, (<Action.MOVE: 2>, -1, 0)], [0, 0.008998632431030273, (<Action.MOVE: 2>, 0, 1)], [1, 0.33200573921203613, (<Action.MOVE: 2>, -1, 0)], [0, 0.005955934524536133, (<Action.MOVE: 2>, 0, -1)], [1, 0.27295684814453125, (<Action.MOVE: 2>, 0, 1)], [0, 0.005996227264404297, (<Action.MOVE: 2>, 0, -1)], [1, 0.3470444679260254, (<Action.MOVE: 2>, 0, 1)], [0, 0.004979133605957031, (<Action.MOVE: 2>, 1, 0)], [1, 0.5940027236938477, (<Action.MOVE: 2>, -1, 0)], [0, 0.005968570709228516, (<Action.MOVE: 2>, 0, -1)], [1, 0.5619971752166748, (<Action.MOVE: 2>, -1, 0)], [0, 0.006002664566040039, (<Action.MOVE: 2>, 1, 0)], [1, 0.5269980430603027, (<Action.MOVE: 2>, -1, 0)], [0, 0.00500035285949707, (<Action.MOVE: 2>, 0, -1)], [1, 0.30658578872680664, (<Action.MOVE: 2>, -1, 0)], [0, 0.0039980411529541016, (<Action.MOVE: 2>, -1, 0)], [1, 0.2939786911010742, (<Action.MOVE: 2>, -1, 0)], [0, 0.004535675048828125, (<Action.MOVE: 2>, 0, 1)], [1, 0.30002856254577637, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,3
