start time,1633071274.1702516
type,MM
depth,5
game,0
iterations,12
times of actions,"[[0, 0.011596441268920898, (<Action.MOVE: 2>, 1, 1)], [1, 2.1553571224212646, (<Action.MOVE: 2>, 0, 1)], [0, 0.010181665420532227, (<Action.MOVE: 2>, 1, 1)], [1, 1.4563112258911133, (<Action.MOVE: 2>, -1, 1)], [0, 0.00793910026550293, (<Action.MOVE: 2>, 1, -1)], [1, 3.8016576766967773, (<Action.MOVE: 2>, -1, 0)], [0, 0.012794256210327148, (<Action.MOVE: 2>, 1, 0)], [1, 3.202784299850464, (<Action.MOVE: 2>, -1, 0)], [0, 0.011774778366088867, (<Action.MOVE: 2>, 0, 1)], [1, 1.8990414142608643, (<Action.MOVE: 2>, -1, -1)], [0, 0.016872644424438477, (<Action.MOVE: 2>, 0, -1)], [1, 2.4177086353302, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,1
iterations,10
times of actions,"[[0, 0.005928516387939453, (<Action.MOVE: 2>, 1, 1)], [1, 1.3747258186340332, (<Action.MOVE: 2>, -1, 1)], [0, 0.007008790969848633, (<Action.MOVE: 2>, -1, 0)], [1, 2.1563966274261475, (<Action.MOVE: 2>, -1, 0)], [0, 0.006241321563720703, (<Action.MOVE: 2>, 1, 0)], [1, 2.0852272510528564, (<Action.MOVE: 2>, -1, 0)], [0, 0.009006977081298828, (<Action.MOVE: 2>, 1, -1)], [1, 3.078207015991211, (<Action.MOVE: 2>, -1, -1)], [0, 0.012583255767822266, (<Action.MOVE: 2>, 0, 1)], [1, 1.7586555480957031, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,2
iterations,5
times of actions,"[[1, 2.3426389694213867, (<Action.MOVE: 2>, 0, -1)], [0, 0.007419109344482422, (<Action.MOVE: 2>, 1, 0)], [1, 2.0405983924865723, (<Action.MOVE: 2>, 1, 0)], [0, 0.009806156158447266, (<Action.MOVE: 2>, -1, 0)], [1, 3.949143409729004, <Action.KICK: 1>]]"
winner,red
game,3
iterations,11
