start time,1633090652.7631605
type,MM
depth,5
game,0
iterations,10
times of actions,"[[0, 0.0229341983795166, (<Action.MOVE: 2>, 0, 1)], [1, 2.263892889022827, (<Action.MOVE: 2>, -1, -1)], [0, 0.009478330612182617, (<Action.MOVE: 2>, 1, -1)], [1, 4.224887132644653, (<Action.MOVE: 2>, -1, 1)], [0, 0.01476907730102539, (<Action.MOVE: 2>, 1, 1)], [1, 4.321382522583008, (<Action.MOVE: 2>, -1, 0)], [0, 0.011810302734375, (<Action.MOVE: 2>, 0, -1)], [1, 3.341397285461426, (<Action.MOVE: 2>, -1, -1)], [0, 0.01096653938293457, (<Action.MOVE: 2>, 1, 0)], [1, 2.6791939735412598, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,1
iterations,13
times of actions,"[[1, 1.1256582736968994, (<Action.MOVE: 2>, 0, 1)], [0, 0.007560014724731445, (<Action.MOVE: 2>, -1, -1)], [1, 1.788898229598999, (<Action.MOVE: 2>, 1, 0)], [0, 0.013084650039672852, (<Action.MOVE: 2>, 1, 0)], [1, 1.9927880764007568, (<Action.MOVE: 2>, 1, 1)], [0, 0.011218547821044922, (<Action.MOVE: 2>, 0, -1)], [1, 1.286541223526001, (<Action.MOVE: 2>, 0, 1)], [0, 0.008009672164916992, (<Action.MOVE: 2>, -1, 0)], [1, 2.2512500286102295, (<Action.MOVE: 2>, 1, 0)], [0, 0.008785009384155273, (<Action.MOVE: 2>, 0, 1)], [1, 3.283454656600952, (<Action.MOVE: 2>, 1, -1)], [0, 0.010860681533813477, (<Action.MOVE: 2>, -1, 0)], [1, 3.002614974975586, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,2
iterations,7
times of actions,"[[1, 1.2316234111785889, (<Action.MOVE: 2>, 1, -1)], [0, 0.006713390350341797, (<Action.MOVE: 2>, 0, 1)], [1, 3.658403158187866, (<Action.MOVE: 2>, 1, 0)], [0, 0.012959957122802734, (<Action.MOVE: 2>, -1, -1)], [1, 2.128671407699585, (<Action.MOVE: 2>, 1, -1)], [0, 0.009783029556274414, (<Action.MOVE: 2>, -1, 1)], [1, 2.7674500942230225, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,3
iterations,7
