start time,1632917632.0629423
type,MM
depth,5
game,0
iterations,3
times of actions,"[[0, 0.002000093460083008, (<Action.MOVE: 2>, 0, 1)], [1, 0.21605825424194336, (<Action.MOVE: 2>, 1, 0)], [0, 0.005959510803222656, (<Action.MOVE: 2>, 0, -1)], [1, 0.08995246887207031, (<Action.MOVE: 2>, -1, 0)]]"
winner,none
game,1
iterations,3
times of actions,"[[0, 0.0029578208923339844, (<Action.MOVE: 2>, 0, -1)], [1, 0.08799982070922852, (<Action.MOVE: 2>, -1, 0)], [0, 0.005190134048461914, (<Action.MOVE: 2>, 0, 1)], [1, 0.11100625991821289, (<Action.MOVE: 2>, 1, 0)]]"
winner,none
game,2
iterations,12
times of actions,"[[0, 0.004004001617431641, (<Action.MOVE: 2>, 0, -1)], [1, 0.12999868392944336, (<Action.MOVE: 2>, 0, 1)], [0, 0.0060024261474609375, (<Action.MOVE: 2>, -1, 0)], [1, 0.14999866485595703, (<Action.MOVE: 2>, -1, 0)], [0, 0.003962278366088867, (<Action.MOVE: 2>, 0, 1)], [1, 0.23395943641662598, (<Action.MOVE: 2>, 0, 1)], [0, 0.003998517990112305, (<Action.MOVE: 2>, 0, 1)], [1, 0.4969968795776367, (<Action.MOVE: 2>, -1, 0)], [0, 0.004044055938720703, (<Action.MOVE: 2>, 1, 0)], [1, 0.5139679908752441, (<Action.MOVE: 2>, -1, 0)], [0, 0.004991769790649414, (<Action.MOVE: 2>, -1, 0)], [1, 0.3289520740509033, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,3
iterations,4
times of actions,"[[0, 0.004001140594482422, (<Action.MOVE: 2>, 0, 1)], [1, 0.16998505592346191, (<Action.MOVE: 2>, 1, 0)], [0, 0.005960941314697266, (<Action.MOVE: 2>, 0, 1)], [1, 0.0809774398803711, (<Action.MOVE: 2>, -1, 0)], [0, 0.0060002803802490234, (<Action.MOVE: 2>, 0, -1)]]"
winner,none
game,4
iterations,12
