start time,1632908804.270823
type,MM
depth,5
game,0
iterations,22
times of actions,"[[0, 0.0029554367065429688], [1, 0.1419987678527832], [0, 0.004009246826171875], [1, 0.1419999599456787], [0, 0.004000186920166016], [1, 0.1309983730316162], [0, 0.005002260208129883], [1, 0.17199301719665527], [0, 0.004004240036010742], [1, 0.33499884605407715], [0, 0.004997968673706055], [1, 0.6059212684631348], [0, 0.0049991607666015625], [1, 0.5490026473999023], [0, 0.005999088287353516], [1, 0.5020341873168945], [0, 0.004999637603759766], [1, 0.4340050220489502], [0, 0.005000591278076172], [1, 0.37203097343444824], [0, 0.00599980354309082], [1, 0.2709977626800537]]"
winner,blue
game,1
iterations,16
times of actions,"[[0, 0.002956867218017578], [1, 0.25100207328796387], [0, 0.006052732467651367], [1, 0.3350338935852051], [0, 0.007018089294433594], [1, 0.5779991149902344], [0, 0.005998373031616211], [1, 0.5579955577850342], [0, 0.004999637603759766], [1, 0.5259988307952881], [0, 0.005001068115234375], [1, 0.44899773597717285], [0, 0.005984306335449219], [1, 0.4050002098083496], [0, 0.0060002803802490234], [1, 0.2839996814727783]]"
winner,blue
game,2
iterations,28
times of actions,"[[0, 0.00400090217590332], [1, 0.22099971771240234], [0, 0.005000591278076172], [1, 0.2389986515045166], [0, 0.0050008296966552734], [1, 0.25603461265563965], [0, 0.006000518798828125], [1, 0.24798846244812012], [0, 0.004999399185180664], [1, 0.3330047130584717], [0, 0.004998922348022461], [1, 0.5410335063934326], [0, 0.005999565124511719], [1, 0.39199113845825195], [0, 0.002999544143676758], [1, 0.38803529739379883], [0, 0.0039920806884765625], [1, 0.38100194931030273], [0, 0.004777431488037109], [1, 0.5359995365142822], [0, 0.005993843078613281], [1, 0.31624627113342285], [0, 0.004010915756225586], [1, 0.43199944496154785], [0, 0.0050160884857177734], [1, 0.32899928092956543], [0, 0.005007028579711914], [1, 0.27699923515319824]]"
winner,blue
game,3
iterations,24
